Files already downloaded and verified
Files already downloaded and verified
Using cache found in /home/xi/.cache/torch/hub/facebookresearch_dino_main
/home/xi/miniconda3/envs/torch_env/lib/python3.10/site-packages/torch/cuda/__init__.py:716: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")

>> Running: Nc=1, J=4
Round [114/200] | LR: 0.00010 | Tr Loss: 2.0829 | Te Loss: 8.0862 | Te Acc: 1.04% | Best: 16.97%
Round [115/200] | LR: 0.00010 | Tr Loss: 2.9295 | Te Loss: 7.1397 | Te Acc: 1.95% | Best: 16.97%
Round [116/200] | LR: 0.00010 | Tr Loss: 3.8352 | Te Loss: 6.4520 | Te Acc: 1.39% | Best: 16.97%
Round [117/200] | LR: 0.00010 | Tr Loss: 2.3216 | Te Loss: 5.5791 | Te Acc: 1.76% | Best: 16.97%
Round [118/200] | LR: 0.00010 | Tr Loss: 2.3370 | Te Loss: 5.0683 | Te Acc: 2.11% | Best: 16.97%
Round [119/200] | LR: 0.00010 | Tr Loss: 2.2566 | Te Loss: 4.9473 | Te Acc: 1.86% | Best: 16.97%
Round [120/200] | LR: 0.00010 | Tr Loss: 2.2276 | Te Loss: 4.9605 | Te Acc: 1.90% | Best: 16.97%
Round [121/200] | LR: 0.00001 | Tr Loss: 4.4928 | Te Loss: 4.9166 | Te Acc: 1.93% | Best: 16.97%
Round [122/200] | LR: 0.00001 | Tr Loss: 4.1281 | Te Loss: 4.9410 | Te Acc: 2.09% | Best: 16.97%
Round [123/200] | LR: 0.00001 | Tr Loss: 4.1972 | Te Loss: 4.9014 | Te Acc: 2.22% | Best: 16.97%
Round [124/200] | LR: 0.00001 | Tr Loss: 4.2347 | Te Loss: 4.8791 | Te Acc: 2.58% | Best: 16.97%
Round [125/200] | LR: 0.00001 | Tr Loss: 4.4069 | Te Loss: 4.8152 | Te Acc: 2.94% | Best: 16.97%
Round [126/200] | LR: 0.00001 | Tr Loss: 3.9969 | Te Loss: 4.8031 | Te Acc: 3.04% | Best: 16.97%
Round [127/200] | LR: 0.00001 | Tr Loss: 4.5127 | Te Loss: 4.7628 | Te Acc: 3.31% | Best: 16.97%
Round [128/200] | LR: 0.00001 | Tr Loss: 4.1063 | Te Loss: 4.7601 | Te Acc: 3.30% | Best: 16.97%
Round [129/200] | LR: 0.00001 | Tr Loss: 4.4491 | Te Loss: 4.7691 | Te Acc: 3.32% | Best: 16.97%
Round [130/200] | LR: 0.00001 | Tr Loss: 4.2601 | Te Loss: 4.7406 | Te Acc: 3.04% | Best: 16.97%
Round [131/200] | LR: 0.00001 | Tr Loss: 4.4109 | Te Loss: 4.7343 | Te Acc: 2.81% | Best: 16.97%
Round [132/200] | LR: 0.00001 | Tr Loss: 4.0608 | Te Loss: 4.7292 | Te Acc: 2.96% | Best: 16.97%
Round [133/200] | LR: 0.00001 | Tr Loss: 3.9860 | Te Loss: 4.7121 | Te Acc: 3.13% | Best: 16.97%
