Files already downloaded and verified
Files already downloaded and verified
Using cache found in /home/xi/.cache/torch/hub/facebookresearch_dino_main
/home/xi/miniconda3/envs/torch_env/lib/python3.10/site-packages/torch/cuda/__init__.py:716: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")

>> Running: Nc=1, J=4
Round [067/200] | LR: 0.00100 | Tr Loss: 1.7745 | Te Loss: 5.9742 | Te Acc: 1.00% | Best: 17.12%
Round [068/200] | LR: 0.00100 | Tr Loss: 2.0131 | Te Loss: 5.3357 | Te Acc: 1.21% | Best: 17.12%
Round [069/200] | LR: 0.00100 | Tr Loss: 1.6223 | Te Loss: 5.6748 | Te Acc: 0.89% | Best: 17.12%
Round [070/200] | LR: 0.00100 | Tr Loss: 1.8856 | Te Loss: 5.4976 | Te Acc: 1.44% | Best: 17.12%
Round [071/200] | LR: 0.00100 | Tr Loss: 1.8733 | Te Loss: 5.4904 | Te Acc: 1.00% | Best: 17.12%
Round [072/200] | LR: 0.00100 | Tr Loss: 2.0231 | Te Loss: 5.7263 | Te Acc: 0.94% | Best: 17.12%
Round [073/200] | LR: 0.00100 | Tr Loss: 1.9399 | Te Loss: 5.8114 | Te Acc: 1.00% | Best: 17.12%
Round [074/200] | LR: 0.00100 | Tr Loss: 1.9023 | Te Loss: 5.9427 | Te Acc: 1.36% | Best: 17.12%
Round [075/200] | LR: 0.00100 | Tr Loss: 1.8489 | Te Loss: 5.5268 | Te Acc: 1.62% | Best: 17.12%
Round [076/200] | LR: 0.00100 | Tr Loss: 1.8438 | Te Loss: 5.6258 | Te Acc: 1.40% | Best: 17.12%
Round [077/200] | LR: 0.00100 | Tr Loss: 1.8835 | Te Loss: 5.3740 | Te Acc: 1.88% | Best: 17.12%
Round [078/200] | LR: 0.00100 | Tr Loss: 1.7690 | Te Loss: 5.6892 | Te Acc: 1.19% | Best: 17.12%
Round [079/200] | LR: 0.00100 | Tr Loss: 1.8397 | Te Loss: 7.1727 | Te Acc: 1.00% | Best: 17.12%
Round [080/200] | LR: 0.00100 | Tr Loss: 2.5737 | Te Loss: 5.4752 | Te Acc: 1.41% | Best: 17.12%
Round [081/200] | LR: 0.00100 | Tr Loss: 1.9143 | Te Loss: 5.5774 | Te Acc: 1.28% | Best: 17.12%
Round [082/200] | LR: 0.00100 | Tr Loss: 2.0502 | Te Loss: 6.2153 | Te Acc: 1.19% | Best: 17.12%
Round [083/200] | LR: 0.00100 | Tr Loss: 2.0178 | Te Loss: 6.2378 | Te Acc: 1.00% | Best: 17.12%
Round [084/200] | LR: 0.00100 | Tr Loss: 1.9281 | Te Loss: 5.8689 | Te Acc: 1.64% | Best: 17.12%
Round [085/200] | LR: 0.00100 | Tr Loss: 1.8594 | Te Loss: 6.0553 | Te Acc: 1.25% | Best: 17.12%
Round [086/200] | LR: 0.00100 | Tr Loss: 2.3508 | Te Loss: 5.6312 | Te Acc: 1.53% | Best: 17.12%
Round [087/200] | LR: 0.00100 | Tr Loss: 2.0325 | Te Loss: 5.2824 | Te Acc: 1.08% | Best: 17.12%
Round [088/200] | LR: 0.00100 | Tr Loss: 1.6142 | Te Loss: 5.4983 | Te Acc: 1.20% | Best: 17.12%
Round [089/200] | LR: 0.00100 | Tr Loss: 1.7193 | Te Loss: 5.3965 | Te Acc: 1.22% | Best: 17.12%
Round [090/200] | LR: 0.00100 | Tr Loss: 2.0194 | Te Loss: 5.3488 | Te Acc: 1.06% | Best: 17.12%
Round [091/200] | LR: 0.00100 | Tr Loss: 1.8811 | Te Loss: 5.5753 | Te Acc: 1.75% | Best: 17.12%
